courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
3D Design for Virtual Environments - MSc	Glasgow Caledonian University	School of Engineering and Built Environment	Full time	3D visualisation and animation play a role in many areas, and the popularity of these media just keeps growing. Digital animation provides the eye-catching special effects in the 21st century's favourite films and television shows; 3D design is also essential to everyday work in everything from computer games development, online virtual world development and industrial design to marketing, product design and architecture.GCU's programme in 3D Design for Virtual Environments will help you develop the skills to thrive in a successful career as a visual designer. The programme is practical and career-focused, oriented towards current industry needs, technology and practice. No prior knowledge of 3D design is required.	September			1 year full-time	Glasgow	United Kingdom	On Campus	
Accounting and Finance - MSc	University of Leeds	Leeds University Business School	Full time	Businesses and governments rely on sound financial knowledge to underpin their strategies for success.This course will kick-start your professional career, providing you with advanced knowledge of modern financial theories, accounting practices and controls, as well as an understanding of the organisational context.You'll cover fundamental topics such as corporate finance and corporate reporting. Optional modules will allow you specialise your knowledge, ranging from international business finance to forensic accounting. You’ll also be able to apply your learning to practical case studies and simulations to test your knowledge in genuine business scenarios.	September			1 year full time	Leeds	United Kingdom	On Campus	
Accounting, Accountability & Financial Management MSc	King’s College London	King’s Business School	Full time	Our Accounting, Accountability & Financial Management MSc course will provide you with an advanced understanding of the economic, technical and institutional foundations of accounting and financial management.You'll explore the importance of accountability and information, corporate governance, and ethics in global financial markets. With an undergraduate degree in a relevant social science subject, you'll be ready to tackle the intellectually challenging world of finance.Through a combination of core modules and your own choice of management areas, you'll come away fully equipped to thrive in any industry you choose to go into.	September			1 year FT	London	United Kingdom	On Campus	
